Organization Name,Organization Code,Organization Parent Organization Name,Organization Active Flag,Organization Parent Organization Code,Organization Type Code,Organization Type Description,total,pgrps-tot,pgrps-faculty,pgrps-staff,pgrps-student,pgrps-dcc
CALS Career & Acad Svcs,0101,College of Agric and Life Sci,Y,AGSC,O,OFFICIAL ORG,106,48,21,24,25,2
Veterinary Sci & Microbio-Ins,0102,College of Agric and Life Sci,N,AGSC,O,OFFICIAL ORG,48,1,0,0,0,1
Arboretum Affairs/Delep,0103,Boyce Thompson Arboretum,Y,0104,N,UNOFFICIAL ORG - LEVEL 1,8,0,0,0,0,0
Boyce Thompson Arboretum,0104,College of Agric and Life Sci,Y,AGSC,O,OFFICIAL ORG,114,0,0,0,0,0
Sch of Family & Consum Sci-Ins,0107,College of Agric and Life Sci,Y,AGSC,O,OFFICIAL ORG,244,57,35,9,24,2
Agric Educ Tech & Innov-Ins,0108,College of Agric and Life Sci,Y,AGSC,O,OFFICIAL ORG,169,27,11,4,15,1
Sch of Natural Resources-Ins,0112,College of Agric and Life Sci,Y,AGSC,O,OFFICIAL ORG,36,9,3,0,3,3
Arid Lands Studies-Ins,0115,College of Agric and Life Sci,N,AGSC,O,OFFICIAL ORG,0,0,0,0,0,0
Agric & Resource Econ-Ins,0118,College of Agric and Life Sci,Y,AGSC,O,OFFICIAL ORG,23,5,3,1,2,0
Environmental Science-Ins,0121,College of Agric and Life Sci,Y,AGSC,O,OFFICIAL ORG,57,22,10,4,11,0
Biosystems Engineering - Ins,0122,College of Agric and Life Sci,Y,AGSC,O,OFFICIAL ORG,84,26,4,1,20,1
Nutritional Sciences-Ins,0123,College of Agric and Life Sci,Y,AGSC,O,OFFICIAL ORG,125,45,23,8,24,1
Animal Sciences-Ins,0124,College of Agric and Life Sci,N,AGSC,O,OFFICIAL ORG,33,0,0,0,0,0
School of Plant Sciences-Ins,0125,College of Agric and Life Sci,Y,AGSC,O,OFFICIAL ORG,55,20,3,1,12,4
Entomology-Ins,0131,College of Agric and Life Sci,Y,AGSC,O,OFFICIAL ORG,7,2,0,0,2,0
Vet Med Administration,0140,College of Veterinary Medicine,Y,VTMD,O,OFFICIAL ORG,54,52,32,30,13,0
Animal&Biomedical Sciences-Ins,0150,College of Agric and Life Sci,Y,AGSC,O,OFFICIAL ORG,81,38,15,7,20,0
CALS Devel and Alumni Affairs,0151,College of Agric and Life Sci,Y,AGSC,O,OFFICIAL ORG,53,7,4,5,3,0
CALS Administration,0152,College of Agric and Life Sci,Y,AGSC,O,OFFICIAL ORG,63,24,13,20,6,0
CALS Comm and Technologies,0153,College of Agric and Life Sci,Y,AGSC,O,OFFICIAL ORG,66,24,9,23,2,0
Arizona State Museum,0201,RDI Museums Division,Y,MUSM,O,OFFICIAL ORG,636,79,17,46,24,14
ENVIRONMENTAL RESEARCH LAB,0301,Environmental Science-Res,Y,2421,N,UNOFFICIAL ORG - LEVEL 1,141,5,0,0,1,4
Atmospheric Sciences,0402,College of Science,Y,SCNC,O,OFFICIAL ORG,42,5,0,1,1,3
Political Science,0403,College of Social & Behav Sci,N,SBSC,O,OFFICIAL ORG,139,1,0,0,0,1
Steward Observatory,0404,College of Science,Y,SCNC,O,OFFICIAL ORG,1739,434,166,248,143,42
Religious Studies and Classics,0405,College of Humanities,Y,HMNT,O,OFFICIAL ORG,374,66,25,0,37,4
Russian and Slavic Studies,0409,College of Humanities,Y,HMNT,O,OFFICIAL ORG,122,20,6,1,14,0
School of Anthropology,0410,College of Social & Behav Sci,Y,SBSC,O,OFFICIAL ORG,480,165,45,16,75,41
Physics,0411,College of Science,Y,SCNC,O,OFFICIAL ORG,925,228,49,44,152,10
Computer Science,0412,College of Science,Y,SCNC,O,OFFICIAL ORG,1082,224,40,22,174,7
Lunar and Planetary Laboratory,0413,College of Science,Y,SCNC,O,OFFICIAL ORG,1359,328,122,158,141,23
Bur of Applied Rsch in Anthro,0414,College of Social & Behav Sci,Y,SBSC,O,OFFICIAL ORG,302,37,8,17,13,7
History,0415,College of Social & Behav Sci,Y,SBSC,O,OFFICIAL ORG,291,76,34,4,36,8
Sch Middle E/N African Studies,0416,College of Social & Behav Sci,Y,SBSC,O,OFFICIAL ORG,217,51,17,4,31,2
Molecular and Cellular Biology,0417,College of Science,Y,SCNC,O,OFFICIAL ORG,1629,377,49,55,277,35
